experiment,dataset,top_1_acc_diff,top_1_acc_improvement,top_3_acc_diff,top_3_acc_improvement,top_5_acc_diff,top_5_acc_improvement,top_10_acc_diff,top_10_acc_improvement,top_15_acc_diff,top_15_acc_improvement
gpt-3.5-turbo-0613_0.5_rag_few_shot_5,gpt-4-0125-preview_1.0_rag,0.321,-0.015,0.215,-0.015,0.084,0.030,0.013,0.036,0.005,0.023
gpt-3.5-turbo-0613_0.5_rag_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_3,0.288,0.017,0.182,0.017,0.084,0.030,0.026,0.023,0.017,0.010
gpt-3.5-turbo-0613_0.5_rag_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_1,0.319,-0.014,0.214,-0.015,0.129,-0.015,0.058,-0.009,0.030,-0.003
gpt-3.5-turbo-0613_0.5_rag_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_5,0.321,-0.015,0.204,-0.004,0.110,0.004,0.039,0.010,0.022,0.006
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-3.5-turbo-0125_0.5_zero_shot,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-3.5-turbo-0125_0.5_few_shot_1,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-3.5-turbo-0125_1.0_zero_shot,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-3.5-turbo-0125_1.0_few_shot_3,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-3.5-turbo-0125_1.0_few_shot_1,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-3.5-turbo-0125_1.0_few_shot_5,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.170,0.162,0.057,0.048,0.034,0.026,0.017,0.009,0.011,0.003
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_0.0_few_shot_5,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_0.0_rag,0.034,0.298,0.011,0.094,0.007,0.053,0.003,0.022,0.002,0.012
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_0.0_rag_few_shot_1,0.068,0.264,0.023,0.082,0.014,0.046,0.007,0.019,0.005,0.010
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_0.5_zero_shot,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_0.5_few_shot_3,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_0.5_few_shot_1,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_0.5_few_shot_5,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_0.5_rag,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_0.5_rag_few_shot_3,0.034,0.298,0.011,0.094,0.007,0.053,0.003,0.022,0.002,0.012
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_0.5_rag_few_shot_1,0.170,0.162,0.057,0.048,0.034,0.026,0.017,0.009,0.011,0.003
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_0.5_rag_few_shot_5,0.102,0.230,0.034,0.071,0.020,0.039,0.010,0.015,0.007,0.007
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_1.0_zero_shot,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_1.0_few_shot_3,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_1.0_few_shot_1,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_1.0_few_shot_5,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_1.0_rag,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_3,0.000,0.332,0.000,0.105,0.000,0.060,0.000,0.026,0.000,0.014
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_1,0.034,0.298,0.011,0.094,0.007,0.053,0.003,0.022,0.002,0.012
gpt-3.5-turbo-0613_0.0_rag_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_5,0.034,0.298,0.011,0.094,0.007,0.053,0.003,0.022,0.002,0.012
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-3.5-turbo-0125_0.5_zero_shot,0.078,0.269,0.144,0.165,0.116,0.096,0.058,0.039,0.031,0.023
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-3.5-turbo-0125_0.5_few_shot_1,0.114,0.233,0.136,0.172,0.104,0.107,0.056,0.041,0.028,0.026
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-3.5-turbo-0125_1.0_zero_shot,0.180,0.166,0.198,0.110,0.149,0.063,0.071,0.026,0.033,0.021
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-3.5-turbo-0125_1.0_few_shot_3,0.057,0.290,0.149,0.159,0.113,0.099,0.043,0.054,0.015,0.040
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-3.5-turbo-0125_1.0_few_shot_1,0.006,0.341,0.157,0.151,0.108,0.104,0.050,0.047,0.019,0.035
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-3.5-turbo-0125_1.0_few_shot_5,0.038,0.309,0.130,0.178,0.104,0.108,0.041,0.055,0.013,0.041
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.115,0.232,0.161,0.147,0.128,0.084,0.059,0.038,0.034,0.020
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_0.0_few_shot_5,0.017,0.329,0.117,0.191,0.098,0.114,0.052,0.045,0.019,0.035
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_0.0_rag,0.146,0.201,0.191,0.117,0.136,0.076,0.062,0.035,0.018,0.036
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_0.0_rag_few_shot_1,0.088,0.259,0.207,0.101,0.150,0.062,0.056,0.041,0.029,0.026
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_0.5_zero_shot,0.059,0.288,0.112,0.196,0.105,0.107,0.051,0.045,0.018,0.037
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_0.5_few_shot_3,0.043,0.303,0.136,0.172,0.105,0.107,0.049,0.048,0.021,0.033
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_0.5_few_shot_1,0.017,0.329,0.105,0.204,0.098,0.114,0.052,0.045,0.019,0.035
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_0.5_few_shot_5,0.017,0.329,0.114,0.194,0.097,0.115,0.051,0.046,0.021,0.034
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_0.5_rag,0.211,0.136,0.164,0.144,0.122,0.090,0.052,0.045,0.016,0.038
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_0.5_rag_few_shot_3,0.118,0.229,0.237,0.071,0.145,0.067,0.036,0.060,0.018,0.036
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_0.5_rag_few_shot_1,0.118,0.229,0.218,0.091,0.163,0.049,0.049,0.048,0.029,0.025
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_0.5_rag_few_shot_5,0.144,0.202,0.206,0.102,0.147,0.065,0.059,0.038,0.023,0.032
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_1.0_zero_shot,0.023,0.324,0.126,0.182,0.107,0.105,0.052,0.045,0.016,0.038
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_1.0_few_shot_3,0.038,0.309,0.124,0.184,0.098,0.114,0.053,0.044,0.022,0.033
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_1.0_few_shot_1,0.011,0.335,0.114,0.194,0.098,0.114,0.054,0.042,0.025,0.030
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_1.0_few_shot_5,0.006,0.341,0.129,0.179,0.110,0.102,0.042,0.054,0.024,0.031
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_1.0_rag,0.084,0.263,0.125,0.183,0.099,0.113,0.051,0.046,0.020,0.034
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_3,0.101,0.246,0.170,0.138,0.121,0.091,0.048,0.049,0.017,0.037
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_1,0.143,0.204,0.189,0.119,0.138,0.074,0.049,0.047,0.016,0.038
gpt-3.5-turbo-0613_1.0_rag_few_shot_5,gpt-4-0125-preview_1.0_rag_few_shot_5,0.040,0.306,0.179,0.129,0.114,0.098,0.055,0.042,0.021,0.034
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-3.5-turbo-0125_0.5_zero_shot,0.049,0.198,0.042,0.196,0.043,0.192,0.065,0.142,0.043,0.081
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-3.5-turbo-0125_0.5_few_shot_1,0.016,0.230,0.028,0.210,0.031,0.204,0.052,0.154,0.036,0.088
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-3.5-turbo-0125_1.0_zero_shot,0.044,0.202,0.028,0.210,0.056,0.178,0.066,0.140,0.045,0.079
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-3.5-turbo-0125_1.0_few_shot_3,0.033,0.214,0.037,0.202,0.029,0.206,0.046,0.161,0.026,0.098
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-3.5-turbo-0125_1.0_few_shot_1,0.013,0.234,0.017,0.221,0.032,0.203,0.053,0.153,0.029,0.095
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-3.5-turbo-0125_1.0_few_shot_5,0.062,0.185,0.049,0.189,0.034,0.200,0.032,0.174,0.018,0.106
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.016,0.231,0.053,0.186,0.065,0.170,0.083,0.124,0.058,0.066
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_0.0_few_shot_5,0.016,0.231,0.039,0.199,0.044,0.191,0.030,0.177,0.023,0.101
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_0.0_rag,0.084,0.162,0.050,0.188,0.057,0.177,0.084,0.122,0.052,0.072
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_0.0_rag_few_shot_1,0.018,0.229,0.029,0.209,0.056,0.179,0.087,0.119,0.060,0.063
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_0.5_zero_shot,0.023,0.224,0.026,0.213,0.030,0.204,0.049,0.157,0.033,0.091
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_0.5_few_shot_3,0.038,0.208,0.088,0.151,0.073,0.162,0.051,0.155,0.022,0.102
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_0.5_few_shot_1,0.048,0.199,0.060,0.178,0.053,0.182,0.043,0.163,0.029,0.094
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_0.5_few_shot_5,0.069,0.178,0.061,0.177,0.054,0.180,0.037,0.169,0.024,0.100
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_0.5_rag,0.016,0.230,0.017,0.221,0.033,0.202,0.073,0.133,0.036,0.087
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_0.5_rag_few_shot_3,0.016,0.231,0.037,0.201,0.066,0.169,0.081,0.125,0.055,0.069
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_0.5_rag_few_shot_1,0.018,0.229,0.039,0.199,0.078,0.157,0.087,0.120,0.064,0.059
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_0.5_rag_few_shot_5,0.018,0.229,0.031,0.207,0.041,0.194,0.071,0.135,0.056,0.068
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_1.0_zero_shot,0.058,0.189,0.027,0.212,0.022,0.213,0.051,0.156,0.027,0.097
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_1.0_few_shot_3,0.016,0.231,0.019,0.220,0.026,0.208,0.037,0.170,0.024,0.100
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_1.0_few_shot_1,0.027,0.219,0.048,0.191,0.052,0.183,0.048,0.158,0.026,0.097
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_1.0_few_shot_5,0.047,0.200,0.044,0.194,0.054,0.180,0.044,0.162,0.029,0.095
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_1.0_rag,0.015,0.232,0.017,0.221,0.017,0.218,0.056,0.151,0.028,0.096
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_1.0_rag_few_shot_3,0.048,0.199,0.021,0.217,0.039,0.196,0.074,0.132,0.038,0.086
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_1.0_rag_few_shot_1,0.017,0.230,0.061,0.177,0.089,0.146,0.084,0.122,0.051,0.072
gpt-3.5-turbo-0613_0.5_zero_shot_0,gpt-4-0125-preview_1.0_rag_few_shot_5,0.015,0.232,0.074,0.165,0.077,0.158,0.072,0.134,0.049,0.075
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-3.5-turbo-0125_0.5_zero_shot,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-3.5-turbo-0125_0.5_few_shot_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-3.5-turbo-0125_1.0_zero_shot,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-3.5-turbo-0125_1.0_few_shot_3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-3.5-turbo-0125_1.0_few_shot_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-3.5-turbo-0125_1.0_few_shot_5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_0.0_few_shot_5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_0.0_rag,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_0.0_rag_few_shot_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_0.5_zero_shot,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_0.5_few_shot_3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_0.5_few_shot_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_0.5_few_shot_5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_0.5_rag,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_0.5_rag_few_shot_3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_0.5_rag_few_shot_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_0.5_rag_few_shot_5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_1.0_zero_shot,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_1.0_few_shot_3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_1.0_few_shot_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_1.0_few_shot_5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_1.0_rag,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_1.0_rag_few_shot_3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_1.0_rag_few_shot_1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_0.0_zero_shot_0,gpt-4-0125-preview_1.0_rag_few_shot_5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-3.5-turbo-0125_0.5_zero_shot,0.081,0.243,0.101,0.210,0.079,0.206,0.066,0.171,0.063,0.124
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-3.5-turbo-0125_0.5_few_shot_1,0.057,0.267,0.102,0.209,0.097,0.188,0.067,0.169,0.051,0.137
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-3.5-turbo-0125_1.0_zero_shot,0.198,0.126,0.190,0.121,0.181,0.104,0.127,0.110,0.101,0.087
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-3.5-turbo-0125_1.0_few_shot_3,0.048,0.275,0.082,0.228,0.059,0.226,0.060,0.176,0.048,0.139
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-3.5-turbo-0125_1.0_few_shot_1,0.040,0.283,0.070,0.241,0.054,0.232,0.044,0.192,0.051,0.136
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-3.5-turbo-0125_1.0_few_shot_5,0.035,0.288,0.049,0.261,0.057,0.228,0.045,0.192,0.043,0.144
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.035,0.288,0.062,0.249,0.054,0.231,0.067,0.170,0.059,0.129
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_0.0_few_shot_5,0.031,0.292,0.115,0.196,0.124,0.161,0.105,0.131,0.051,0.136
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_0.0_rag,0.047,0.276,0.063,0.248,0.058,0.227,0.070,0.166,0.059,0.129
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_0.0_rag_few_shot_1,0.000,0.324,0.051,0.259,0.053,0.232,0.035,0.201,0.054,0.133
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_0.5_zero_shot,0.039,0.285,0.072,0.239,0.067,0.219,0.072,0.164,0.047,0.140
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_0.5_few_shot_3,0.029,0.295,0.099,0.211,0.079,0.207,0.090,0.147,0.058,0.130
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_0.5_few_shot_1,0.000,0.324,0.105,0.205,0.113,0.172,0.082,0.155,0.052,0.135
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_0.5_few_shot_5,0.000,0.324,0.103,0.208,0.083,0.202,0.077,0.159,0.054,0.133
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_0.5_rag,0.000,0.324,0.037,0.273,0.059,0.226,0.057,0.179,0.051,0.136
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_0.5_rag_few_shot_3,0.022,0.301,0.046,0.264,0.044,0.242,0.051,0.185,0.056,0.132
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_0.5_rag_few_shot_1,0.044,0.279,0.074,0.237,0.072,0.213,0.058,0.179,0.056,0.132
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_0.5_rag_few_shot_5,0.017,0.306,0.044,0.266,0.055,0.231,0.062,0.175,0.049,0.139
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_1.0_zero_shot,0.000,0.324,0.033,0.278,0.028,0.257,0.060,0.176,0.044,0.143
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_1.0_few_shot_3,0.008,0.316,0.087,0.224,0.081,0.205,0.080,0.156,0.055,0.132
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_1.0_few_shot_1,0.073,0.251,0.090,0.220,0.115,0.171,0.081,0.155,0.056,0.132
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_1.0_few_shot_5,0.058,0.265,0.102,0.209,0.068,0.218,0.060,0.176,0.059,0.128
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_1.0_rag,0.019,0.305,0.061,0.249,0.059,0.227,0.067,0.169,0.048,0.139
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_1.0_rag_few_shot_3,0.023,0.301,0.047,0.263,0.051,0.234,0.066,0.170,0.051,0.136
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_1.0_rag_few_shot_1,0.026,0.297,0.045,0.265,0.042,0.243,0.061,0.175,0.050,0.137
gpt-3.5-turbo-0613_1.0_zero_shot_0,gpt-4-0125-preview_1.0_rag_few_shot_5,0.015,0.308,0.025,0.286,0.039,0.246,0.049,0.187,0.052,0.135
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-3.5-turbo-0125_0.5_zero_shot,0.090,0.181,0.041,0.221,0.032,0.222,0.073,0.153,0.039,0.082
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-3.5-turbo-0125_0.5_few_shot_1,0.013,0.258,0.028,0.234,0.024,0.230,0.082,0.144,0.038,0.083
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-3.5-turbo-0125_1.0_zero_shot,0.029,0.242,0.030,0.232,0.033,0.220,0.102,0.124,0.045,0.076
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_3,0.090,0.182,0.048,0.214,0.041,0.212,0.068,0.158,0.028,0.092
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_1,0.010,0.262,0.024,0.237,0.044,0.210,0.077,0.149,0.033,0.088
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-3.5-turbo-0125_1.0_few_shot_5,0.053,0.218,0.026,0.236,0.029,0.225,0.052,0.174,0.026,0.095
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-3.5-turbo-0125_1.0_rag_few_shot_3,0.016,0.255,0.039,0.222,0.070,0.183,0.123,0.103,0.066,0.055
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-4-0125-preview_0.0_few_shot_5,0.037,0.235,0.027,0.235,0.023,0.230,0.046,0.180,0.025,0.095
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-4-0125-preview_0.0_rag,0.025,0.246,0.071,0.190,0.118,0.136,0.104,0.122,0.037,0.083
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-4-0125-preview_0.0_rag_few_shot_1,0.023,0.249,0.048,0.214,0.095,0.158,0.110,0.116,0.052,0.068
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-4-0125-preview_0.5_zero_shot,0.020,0.251,0.031,0.231,0.036,0.217,0.047,0.179,0.028,0.092
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-4-0125-preview_0.5_few_shot_3,0.088,0.183,0.050,0.212,0.057,0.197,0.073,0.153,0.026,0.094
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-4-0125-preview_0.5_few_shot_1,0.046,0.226,0.038,0.223,0.059,0.194,0.061,0.165,0.028,0.092
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-4-0125-preview_0.5_few_shot_5,0.014,0.258,0.028,0.233,0.024,0.229,0.056,0.170,0.032,0.089
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-4-0125-preview_0.5_rag,0.036,0.235,0.059,0.202,0.085,0.169,0.093,0.133,0.028,0.093
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_3,0.014,0.258,0.073,0.189,0.106,0.147,0.105,0.121,0.034,0.086
gpt-3.5-turbo-0613_0.5_few_shot_3,gpt-4-0125-preview_0.5_rag_few_shot_1,0.027,0.244,0.078,0.183,0.103,0.150,0.113,0.113,0.055,0.066
